from_user_screen_name,state_account,bus_int_ind,other_ind,bus_orgs_unofficial,retweet_count,mtot,exception_mag,kauffman,retweet_dummy,mention_dummy,url_dummy,monday,tuesday,wednesday,thursday,friday,saturday,sunday,from_user_followers_count,from_user_friends_count,from_user_listed_count,from_user_statuses_count,entities_mentions_count,morning,day,evening,night
ABC_acres,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-.31349802,-.25097966,-.28606668,-.59595263,-.51384372,1,0,0,0
ABC_acres,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.31349802,-.25097966,-.28606668,-.59595263,-.51384372,1,0,0,0
ABC_acres,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,-.31354228,-.25110516,-.28606668,-.59644324,-.51384372,0,1,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.30787861,-.23378876,-.28606668,-.53070569,-.51384372,1,0,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.30792284,-.23378876,-.28606668,-.53084582,-.51384372,1,0,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.30792284,-.23378876,-.28606668,-.53091592,-.51384372,1,0,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.3079671,-.23378876,-.28606668,-.53126633,-.51384372,1,0,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.3079671,-.23378876,-.28606668,-.53126633,-.51384372,0,1,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.30792284,-.23378876,-.29253086,-.53133643,-.51384372,1,0,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.3079671,-.23378876,-.28606668,-.53144157,-.51384372,1,0,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.3079671,-.23378876,-.28606668,-.5315817,-.51384372,1,0,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-.3079671,-.23378876,-.28606668,-.5315817,-.51384372,0,0,1,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.30801135,-.23378876,-.28606668,-.53161675,-.51384372,0,1,0,0
abigaildennis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.30792284,-.23378876,-.28606668,-.53172189,-.51384372,1,0,0,0
AcousticAtlas,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-.30332112,-.24282339,-.2472816,-.57713544,.82878017,0,1,0,0
AcousticAtlas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-.30517951,-.24294887,-.2472816,-.57818669,-.51384372,1,0,0,0
adgirl406,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-.30969274,-.22061326,-.28283459,-.59371001,-.51384372,0,0,1,0
adriansgphoto,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.30588746,-.22349931,-.27798647,-.5841437,-.51384372,0,1,0,0
advindapparel,0,0,0,1,4,0,0,0,1,1,1,0,0,0,0,1,0,0,-.2876575,-.17970642,-.25212973,-.58621114,.82878017,1,0,0,0
aimone35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-.30478129,-.12775727,-.28606668,-.52786732,-.51384372,0,1,0,0
ajbulthuis,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-.31159538,-.23328684,-.28768274,-.5557602,.82878017,0,1,0,0
akosuen_,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-.30478129,-.21521756,-.28121856,-.56627262,-.51384372,0,1,0,0
alisonlewis,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,.096056566,.17553043,1.1392856,1.9277596,.82878017,1,0,0,0
AllPointsMT,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,-.30677241,-.24859552,-.27152228,-.58582568,-.51384372,0,1,0,0
AlmaDCastillo,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.30809984,-.18209057,-.29091483,-.5670085,-.51384372,0,0,1,0
AlmaDCastillo,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.3079671,-.18547855,-.29091483,-.57110834,-.51384372,0,0,0,1
AlmaDCastillo,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.3079671,-.18547855,-.29091483,-.57110834,-.51384372,0,0,1,0
Amalstable,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.30345386,-.18949395,-.2650581,-.58144552,-.51384372,0,0,1,0
amandamarkert,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-.29062209,-.16188812,-.25051367,-.54601872,.82878017,0,1,0,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-.2465516,-.2361729,-.032347515,-.41110957,-.51384372,0,0,1,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-.24659584,-.23629838,-.032347515,-.41468379,.82878017,0,0,1,0
Amy_Savannah,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,-.24659584,-.23629838,-.032347515,-.41468379,-.51384372,0,0,1,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.24668434,-.23692578,-.027499378,-.4170666,-.51384372,0,0,1,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-.24637462,-.23755319,-.027499378,-.41780248,.82878017,0,0,1,0
Amy_Savannah,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,-.24717107,-.23792964,-.025883334,-.41997504,4.8566518,0,0,1,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.24717107,-.23792964,-.025883334,-.41997504,-.51384372,0,1,0,0
Amy_Savannah,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-.24717107,-.23792964,-.025883334,-.41997504,2.1714041,0,1,0,0
Amy_Savannah,0,1,0,0,4,0,0,0,1,1,1,0,0,1,0,0,0,0,-.24721532,-.23843156,-.033963561,-.42109635,.82878017,0,1,0,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.24721532,-.23843156,-.033963561,-.42109635,-.51384372,0,0,1,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.24659584,-.23918445,-.046891928,-.42400479,-.51384372,1,0,0,0
Amy_Savannah,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-.24659584,-.23918445,-.046891928,-.42400479,-.51384372,0,0,1,0
Amy_Savannah,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.24659584,-.23918445,-.046891928,-.42400479,-.51384372,0,1,0,0
ANerbovig,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.27522397,-.081956685,-.1874879,-.33647153,-.51384372,0,0,1,0
angelnmt2012,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-.26177272,-.084340826,-.23596928,.43247563,.82878017,1,0,0,0
angelnmt2012,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-.2622152,-.084215343,-.23596928,.39817017,.82878017,1,0,0,0
angelnmt2012,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-.27128595,-.1116957,-.23435323,.16763319,.82878017,0,0,1,0
Animalstoo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-.30916178,-.22876953,-.28606668,-.52881342,-.51384372,0,0,1,0
AnitaDWhite,0,0,1,0,5,0,0,0,1,1,1,0,0,1,0,0,0,0,1.1581286,2.3094614,.075927548,4.4390326,.82878017,0,0,0,1
annie_hanshew,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.31239185,-.23981185,-.28929877,-.59921151,-.51384372,0,0,1,0
ASebrell,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.31159538,-.22801663,-.29253086,-.51784551,-.51384372,1,0,0,0
ashcaitphoto,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-.31208211,-.23479261,-.28929877,-.60247034,2.1714041,0,1,0,0
AspireRealtyMT,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.3132768,-.24219599,-.29253086,-.60275066,-.51384372,0,0,1,0
asthemagpieflys,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.30571046,-.2050536,-.28283459,-.59903628,-.51384372,1,0,0,0
asthemagpieflys,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.30571046,-.2050536,-.28283459,-.59903628,-.51384372,0,0,0,1
asthemagpieflys,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.30571046,-.2050536,-.28283459,-.59903628,-.51384372,0,0,1,0
AtkinsonJohn7,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.2650913,.16699773,-.17779163,-.47194135,-.51384372,0,0,1,0
authenticFNL,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-.2266845,-.012063738,.23753211,.55498016,3.5140278,1,0,0,0
authenticFNL,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-.22734821,-.016330093,.23753211,.54162943,2.1714041,1,0,0,0
authenticFNL,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-.22734821,-.016330093,.23753211,.54162943,2.1714041,1,0,0,0
authenticFNL,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-.22796766,-.023357034,.2407642,.51706541,.82878017,1,0,0,0
authenticFNL,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.22796766,-.023357034,.2407642,.51710045,-.51384372,1,0,0,0
authenticFNL,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-.22796766,-.023357034,.2407642,.51710045,.82878017,0,0,1,0
authenticFNL,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-.22796766,-.023357034,.2407642,.51710045,3.5140278,1,0,0,0
authenticFNL,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-.22796766,-.023357034,.2407642,.51710045,3.5140278,1,0,0,0
authenticFNL,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-.22796766,-.023357034,.2407642,.51710045,3.5140278,1,0,0,0
avaldez,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-.25810018,-.026243096,-.22304091,-.24687082,-.51384372,0,1,0,0
ayayay7777777,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-.29571053,-.10780578,-.28768274,-.41937932,-.51384372,0,0,1,0
ballholic34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-.2982769,-.18635692,-.28929877,.15210988,-.51384372,1,0,0,0
BarbaraSerian,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.5833468,4.9640131,4.9289126,2.5792131,.82878017,1,0,0,0
BarbaraSerian,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,1.501312,4.6821823,4.8885117,2.489928,.82878017,0,0,0,1
BarbSackman,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.3130998,-.23454165,-.29253086,-.60278571,-.51384372,0,1,0,0
BarbSackman,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-.31314406,-.23542002,-.29253086,-.60275066,-.51384372,0,0,1,0
BarWGuestRanch,0,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,-.2805779,-.17945546,-.26829019,-.58197117,-.51384372,1,0,0,0
BarWGuestRanch,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-.28079915,-.17945546,-.26829019,-.58207625,-.51384372,1,0,0,0
BarWGuestRanch,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,-.28084341,-.17945546,-.26829019,-.58221644,-.51384372,0,1,0,0
BarWGuestRanch,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,-.28071067,-.17945546,-.26829019,-.58228654,-.51384372,0,1,0,0
BarWGuestRanch,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-.28110889,-.17945546,-.26829019,-.58246171,-.51384372,1,0,0,0
BarWGuestRanch,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-.28110889,-.17945546,-.26829019,-.58246171,-.51384372,0,0,1,0
BarWGuestRanch,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,-.28124163,-.17945546,-.26990622,-.58256686,-.51384372,0,1,0,0
BarWGuestRanch,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-.28137437,-.17945546,-.26990622,-.58274204,-.51384372,0,0,1,0
BarWGuestRanch,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-.28190532,-.17945546,-.26990622,-.58295232,-.51384372,0,1,0,0
beckyjlomax,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-.31009099,-.23504357,-.26829019,-.59279895,.82878017,1,0,0,0
beckyjlomax,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-.31031221,-.23604742,-.26829019,-.59406042,-.51384372,0,1,0,0
BeltCreek,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.14686204,.19648577,-.2440495,-.57037246,-.51384372,0,0,1,0
bethanynbella,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-.28978139,-.14093278,-.21657673,-.33198625,4.8566518,1,0,0,0
BGmhoffman,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.29186103,-.21195506,-.25697786,-.51104748,-.51384372,0,0,1,0
BigBadBillyD,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-.30332112,-.1692915,-.2796025,-.55460387,.82878017,0,0,1,0
BigHoleWC,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-.30252466,-.19840311,-.27152228,-.5830574,-.51384372,1,0,0,0
BigHoleWC,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.30252466,-.19840311,-.27152228,-.5830574,-.51384372,1,0,0,0
BigHoleWC,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.30279014,-.19802666,-.27313831,-.58389843,-.51384372,1,0,0,0
BigHoleWC,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-.30336535,-.20116369,-.27313831,-.58484453,-.51384372,1,0,0,0
BighornCanyNPS,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.19708294,-.17983191,-.12446212,-.51006633,-.51384372,0,1,0,0
billingsgazette,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,.91127199,-.16615447,.47993895,1.306722,-.51384372,0,0,1,0
billingsgazette,0,0,0,1,6,0,0,0,1,0,1,0,0,0,1,0,0,0,.90839589,-.16615447,.48155501,1.303288,-.51384372,0,0,1,0
billingsgazette,0,0,0,1,11,0,0,0,1,0,1,0,1,0,0,0,0,0,.90720123,-.16615447,.48155501,1.3020966,-.51384372,0,0,1,0
billingsgazette,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,.88857305,-.16602899,.48640314,1.2819828,-.51384372,0,1,0,0
billingsgazette,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.88308632,-.16602899,.48155501,1.2757455,-.51384372,0,1,0,0
billingsgazette,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.87237847,-.16602899,.47832292,1.2703842,-.51384372,0,1,0,0
billingsgazette,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,.85618389,-.16590351,.46054643,1.2523729,-.51384372,1,0,0,0
billingsgazette,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,.8413167,-.16565254,.45569828,1.2432271,-.51384372,1,0,0,0
billsvision,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-.25234804,.0042487988,-.21172859,-.23432602,.82878017,0,1,0,0
billsvision,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-.25234804,.0042487988,-.21172859,-.23432602,.82878017,0,1,0,0
Bitterrootcabin,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.27274612,-.02774887,-.24889764,-.51080221,-.51384372,1,0,0,0
Bitterrootcabin,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.27279034,-.027874351,-.24889764,-.51101243,-.51384372,1,0,0,0
Bitterrootcabin,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-.27279034,-.027246946,-.2472816,-.51188844,-.51384372,0,1,0,0
BlackBullGolf,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-.29084334,-.20166561,-.27152228,-.57983363,-.51384372,1,0,0,0
BlackBullGolf,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.29097608,-.20166561,-.27152228,-.58000886,-.51384372,1,0,0,0
BlackBullGolf,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.29110882,-.20141464,-.27152228,-.58014899,-.51384372,1,0,0,0
BlackBullGolf,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,-.29115304,-.20141464,-.27152228,-.58025414,-.51384372,0,1,0,0
BlackBullGolf,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.29115304,-.20141464,-.27152228,-.58025414,-.51384372,1,0,0,0
BlackCoffeeMsla,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,-.27721509,-.20618293,-.23758532,-.55737215,-.51384372,0,0,1,0
BlackCoffeeMsla,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-.27787882,-.20781419,-.23920137,-.5577926,-.51384372,0,0,0,1
blairmiller,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-.27615318,-.17117372,-.15193489,-.11967076,-.51384372,0,0,1,0
BlueMountainBB,0,0,0,1,30,0,0,0,1,0,1,0,0,0,0,0,1,0,.066808991,.82527137,.71426558,1.3973038,-.51384372,0,1,0,0
BlueMountainBB,0,0,0,1,11,0,0,0,1,0,1,0,0,1,0,0,0,0,.065348819,.81510735,.71911371,1.3741766,-.51384372,0,0,1,0
